index	start	end	type	job_id
71	5:48	5:59	char	a8c84dff-1e5c-4046-8fc3-ab32f1c1cc7b
72	5:59	6:05	obj	f3d69224-567d-448b-a0e8-4d8d1bbef654
73	6:05	6:10	obj	b31131a0-660e-45d4-abc9-ceefb537999a
74	6:10	6:14	char	0bc97a53-acd6-4713-a6de-6fe7dae751d0
75	6:15	6:23	char	f0155000-b9a1-41f6-9c42-ea044ad4aa45
76	6:23	6:32	obj	5750471d-5494-416f-bf3a-d7b74aa597ca
77	6:32	6:41	obj	60b91521-a55e-4c8b-8b56-2d3a84d5d648
78	6:41	6:51	char	2730bc32-7201-4bca-baeb-a18404af83d6
79	6:51	6:58	obj	efc4fd31-3d0c-41db-9723-1ae31a9ede23
80	6:58	7:03	char	1cd66b19-13eb-4f17-a174-ecd5e75040ea
81	7:03	7:04	char	c6a4da80-b2d4-45a8-99c9-6b6ce9ff17d7
82	7:04	7:10	obj	a156a971-a9f7-439e-a9e9-0fcafcc4348f
83	7:10	7:16	obj	24795437-50fd-4475-992d-108d5c38fb99
84	7:16	7:24	obj	0d99af93-6f51-4c5f-b7aa-5e953309c445
85	7:24	7:27	char	934d3d4d-8763-410d-922d-d8b3378f41ea
86	7:27	7:34	char	39d07248-d31b-448d-966b-e74ec57926d3
87	7:34	7:42	char	5a397de7-df4d-43ea-b6d4-18944e88b081
88	7:42	7:47	char	e9adf7a4-4c63-407f-87a6-20d3744ea697
89	7:47	7:52	obj	3da33c47-05bc-4f64-a085-428f5e47cf2d
90	7:52	7:57	obj	f7ecc262-3c0d-4547-8402-a06e819913dd
91	7:57	8:02	char	d9263b99-ee08-4708-adb4-b7519de7d32a
92	8:02	8:07	char	38743342-7d6c-4775-ba01-4236946f9ef4
93	8:07	8:12	char	c427a506-d733-4a87-8a47-cb28b834f500
94	8:12	8:17	char	937da019-2bd4-42f3-9104-960d83659977
